Id|meetup_id|name|member_count|join_mode|description|created|categories
1|370896|New and Not So New In Dublin|21149|open|Welcome to New and Not So New Dublin s largest and most active meetup group Congratulations Today is your day You are off to New and Not So New Dublin s largest and most active meetup group We are a very International group of people from Ireland and around the world who are working or studying in Dublin This group is for people who are new in town as well as those who have already spent part or some of their life in Dublin The events regularly organized suit everybody regardless of age profession nationality religion and status So what are you waiting for Get on your way and join New and Not So New today Meeting new people with New and Not So New is very easy The purpose of our events is meeting with new people and making new friends At each event you will find one or more organizers event hosts who will welcome and introduce you to other members of the group Our calendar features a variety of weekly events suiting everybody Our events include parties dining out coffee chat weekends away outdoor pursuits live gigs and all the things you ve always wanted to do but never dared to For more events check out our calendar which schedules an average of 3 6 events per week Of course if you have any question feel free to call Jeff 087 2422912 and don t forget to like our Facebook page for exclusive events|2006-11-22|['Socializing']
2|8749202|20-35 Somethin's|5575|open|20 35 somethings is a group for people in their 20 s and early 30 s who want to meet and hang out with people of a similar age in Dublin We organise hang outs in pubs and bars but also have cinema theatre and gig nights So if your new to Dublin have been here a while or are just looking to expand your social circle come along to one of our events Oh and if you have some ideas for events yourself feel free to make suggestions Looking forward to meeting you|2013-06-02|['Socializing']
3|19190729|Machine Learning Dublin|4422|open|This is a last Monday of the month meetup group open to professionals and students interested in Machine Learning in any of its forms There are presentations by selected guest speakers on different topics and networking Hashtag MLDublin Twitter DublinML Website If you are interested in speaking or sponsoring this event please contact mldublin adaptcentre ie Strictly for Machine Learning professionals and students only AI Artificial Intelligence Machine Learning Machine Intelligence ML Machine Translation Deep Learning Neural Network Deep Neural Network DNN CNN RNN Convolutional Neural Network Recurrent Neural Network|2015-12-07|['Tech']
4|28444095|Data Science Festival - Dublin|688|open|The focus of this Meetup group is to provide free monthly community data events leading towards the Data Science Festival What is the Data Science Festival The Data Science Festival is a free week long celebration of all things data science The festival consists of lectures workshops demos code sprints panel discussions and social events spread across Europe Who is this meetup and the Data Science Festival for Data engineers analysts scientists and other practitioners R Python and other software engineers who work with data or want to learn Data visualisation developers and designers Non technical team leads executives and other decision makers from data centric start ups and large companies looking to utilise open source tools How can I get involved Visit the DSF site to get involved We are actively looking for community minded individuals to help build and grow our group please feel free to get in touch if you would like to Host an event Sponsor an event Present a session Volunteer to help organise the festival|2018-05-10|['Tech']
5|11686062|Events, Drinks and Dancing in Dublin|16582|open|This is not a dating site but accidents do happen This is a group that anyone can join It intends to bring people friends together for great socializing events So if you are living in or close to Dublin and you would like to go to fun events where people friends socialize this may be a good group for you The organizer will often setup events but any member can also setup events too Just use the suggest option to enter the details of your event If 3 members or more RSVP to an event it then becomes a valid meetup event This is great for organizing events such as birthday parties group meals nights out at your favorite bar group visits to the cinema and getting a group together to go and see a gig A list of the events currently available Weekly Monday Comedy followed by Monday after party good clean fun starts late and ends in the early hours Thursday social drink chat socialise after work evening chill and chat Saturday Occasional drinks and dancing specials parties Thursday Social Fortnightly Saturday Drinks and Dancing night out 2nd and 4th Saturday of the month Allways free to EDDD card holders www gr8 events edddcard Annual Parties Spring Summer Autum Halloween Christmas and New Year Thanks for being part of this group Kind Regards John Keeping You Informed Join our Facebook Group Follow us on twitter Members ID and Discount Cards are now available Receive an SMS text when we are out I often send out a group text to say where we will be on for an event or if I am out and anyone wants to join me us for a drink chat If you would like to be on this list please send an SMS to 0870 200205 with your full name and Text Me Please If you have any problems please let me know via an email message or sms 0873200205|2014-01-02|['Socializing']
6|18914126|Dublin UX|2638|open|Dublin UX is a meetup group for UX UI User Experience and User Interface designers and developers as well as those interested in strengthening their user experience knowledge It s a friendly and professional network of UXers who want to discuss new ideas and research share projects learn new skills and meet other designers and developers We welcome anyone from students and total beginners to experienced professionals If you have a suggestion for a meetup or would like to give a talk please let us know|2015-09-09|['Tech']
7|22488033|Data Science and Engineering Club|1886|open|The Data Science and Engineering Club goals are to share knowledge experience and to bring together Data Engineers and Data Scientists We will organize workshops and presentations in areas of Data Acquisition Data Wrangling Data Storage Data Engineering Machine Learning Data Science Distributed and Cloud Computing We will prefer to apply Open Source tools for tackling data challenges Please let me know if you re interested in hosting a Data Science and Engineering Club meetup in your office or would be interested in speaking at a future event|2017-02-20|['Tech']
8|18777156|Friends Forever!|6203|open|In most meetups in Dublin people never show up again Do you want to make friends that last forever So that s the meetup for you Facebook group|2015-07-27|['Socializing']
9|12511662|Docker Dublin|2393|open|Learn Collaborate Dockerize Meet other developers and ops engineers in your community that are using and learning about Docker Docker is an open platform that helps you build ship and run applications anytime and anywhere Developers use Docker to modify code and to streamline application development while operations gain support to quickly and flexibly respond to their changing needs Docker ensures agility portability and control for all your distributed apps Docker is also the main sponsor of the Moby Project an open framework to assemble specialized container systems without reinventing the wheel More information available at Learn more about the Docker Community at|2014-01-27|['Tech']
10|1228685|DUBLIN RUNNERS|838|approval|IMPORTANT DISCLAIMER We are a group of recreational runners that get together for social runs around Dublin We are not a professional running group Any run that you participate in you do so at your own risk It is up to the individual to assess their ability to participate in the run We advise that participants dress suitably wear proper running shoes and gear and in poor light we recommend the use of High Viz Clothing We take no responsibility for personal injuries or new or existing medical conditions that may be aggravated by running If you are new to running or exercise in general we recommend consulting your physician before joining us We are not responsible for property lost during runs By applying for membership to this group you are accepting responsibility that all group activities that you participate in are at your own risk This includes all runs and any other activities If you are not in agreement please do not proceed with membership Benefits of joining Dublin Runners Keep fit Improve your pace Attempt longer distances See parts of Dublin you wouldn t normally visit Share running tips Make new friends Stay motivated HAVE FUN Some of us have minimal running experience others have lots or train with professional running clubs Some of us have taken up running for the social benefits We are NOT a competitive group We encourage everyone to start off at their own pace We always meet up afterwards to make sure the last runner s arrive safely There is a 5 once off joining fee which we use to pay the meetup com fees and to provide yearly prizes Payment is usually by paypal but we can make provisions if you do not have a paypal account by contacting one of the organisers IF YOU ARE NEW TO RUNNING IT IS IMPORTANT THAT YOU HAVE THE RIGHT SHOES NOT ONLY FOR COMFORT BUT TO PREVENT INJURIES WE ARE SPONSORED BY RUNLOGIC WHO CARRY OUT GAIT ANALYSIS AND SHOE FITTING Follow us on Facebook at and on twitter at|2008-07-20|['Fitness', 'Sports & Recreation']
